pai_version,fiscal_year,theme_number,theme_slug,indicator_id,mandatory,kind,indicator,numerator,denominator,source_url,retrieved_utc
PAI 1.0,2022-2023,4,t4_water_sufficient_panchayat,164,Mandatory,ratio,Percentage Availability of toilets separately for men and women at markets,Number of markets having toilets separately for men and women,Number of markets in GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=4&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,4,t4_water_sufficient_panchayat,165,Mandatory,ratio,Percentage of community and institutional toilets having a toilet designed for Divyang (Disabled),Number of community and institutional buildings having toilets designed for Divyang,Total number of community and institutional buildings with toilets,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=4&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,4,t4_water_sufficient_panchayat,167,Mandatory,binary,Whether the public and institutional toilets are kept clean,Whether the public and institutional toilets are kept clean,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=4&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,4,t4_water_sufficient_panchayat,168,Mandatory,ratio,Percentage of HH having grey water discharge facility at HH level or connected to grey water drainage line,Number of HH having grey water discharge facility at HH level or connected to grey water drainage line,Total Households,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=4&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,4,t4_water_sufficient_panchayat,170,Optional,ratio,Percentage of houses are having functional rainwater harvest mechanisms which are maintained well,Number of houses and building having functional Rainwater harvesting structures and well maintained,Total Number of Houses,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=4&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,4,t4_water_sufficient_panchayat,172,Mandatory,ratio,"Percentage of water bodies (Ponds, Lakes, Well etc) taken up for desilting /deepening or Special repair",Number of Water bodies & Tanks de-slugged / deepened or Special repair carried out,Total number of Water Bodies & Tanks,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=4&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,4,t4_water_sufficient_panchayat,173,Mandatory,binary,Whether the Village water Sanitation Committee (VWSC) is functional in the GP,Whether the Village Water Sanitation Committee (VWSC) is functional in the GP,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=4&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,4,t4_water_sufficient_panchayat,174,Optional,ratio,Agriculture holdings covered in Water User Association (WUS) to the total Agricultural holdings,Agriculture holdings covered in Water User Association (WUA),Total Agricultural holdings in GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=4&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,4,t4_water_sufficient_panchayat,175,Optional,binary,Whether Water User Association (WUA) is Functional,Whether Water User Association(WUA) is Functional,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=4&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,4,t4_water_sufficient_panchayat,176,Mandatory,binary,Whether Panchayat do water budgeting,Whether Panchayat do water budgeting,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=4&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,4,t4_water_sufficient_panchayat,180,Mandatory,ratio,"Total GP spending on drinking water, water management and sanitation as percentage of total plan expenditure","GP expenditure on drinking water, water management and sanitation",Total GP expenditure (All Scheme),https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=4&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,4,t4_water_sufficient_panchayat,181,Mandatory,ratio,Percentage of Individual Household Latrine (IHHL) Toilets,Number of IHHL Toilets,Total Number of Toilets in GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=4&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,181,Mandatory,ratio,Percentage of Individual Household Latrine (IHHL) Toilets,Number of IHHL Toilets,Total Number of Toilets in GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,182,Mandatory,ratio,Percentage of households having access to safe toilets,Number of Households having access to Safe Toilets,Total Households,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,184,Mandatory,ratio,Percentage availability of toilets separately for men and women at public buildings and markets,Number of public buildings and markets having at least one separate toilet for men and Women,Total Number of public buildings and markets,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,185,Mandatory,ratio,Percentage of community toilets having a toilet designed for Divyang (Disabled),Number of community toilets having a toilets designed for Divyang,Total number of community toilets,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,186,Optional,ratio,Percentage of community Toilets having water facility & soap for hand washing.,Number of community Toilets having water facility & soap for hand washing,Total number of community toilets,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,187,Mandatory,ratio,Percentage of village in GP having facility with Waste collection & segregation sheds,Number of village in GP having facility with Waste collection & segregation sheds,Total number of village in GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,188,Optional,ratio,Percentage of Institutions and businesses segregating the dry and wet garbage,Number of institutions and businesses segregating the dry and wet waste,Total number of institutions and businesses,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,189,Mandatory,binary,"Whether the Scientific disposal / recovery of non-biodegradable wastes (plastic, glass, metal, etc.) is practiced","Whether the Scientific disposal / recovery of non-biodegradable wastes (plastic, glass, metal, etc.) is practiced",,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,190,Mandatory,binary,Whether the Scientific treatment of biodegradable waste is being done,Whether the Scientific treatment of biodegradable waste is being done,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,191,Mandatory,binary,Whether the Safety measures followed for the sanitation workers in GP,Whether the Safety measures followed for the sanitation workers in GP,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,194,Mandatory,ratio,Percentage of houses having no stagnant waste water around them,Number of Households having no stagnant waste water around them,Total Households,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,195,Optional,ratio,Percentage of households connected to some form of sewage treatment system,Number of Households connected to sewage treatment system,Total Households,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,196,Mandatory,ratio,Percentage of village in GP having arrangement of Liquid Waste Management,Number of village in GP having arrangement of Liquid Waste Management,Total number of village in GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,197,Mandatory,ratio,Percentage of village in GPs having arrangement of Solid Waste Management,Number of village in GP having arrangement of Solid Waste Management,Total number of village in GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,199,Mandatory,binary,Whether the Gram Panchayat has banned single use plastic?,Has the panchayat banned single use plastic?,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,200,Mandatory,ratio,Percentage of household using clean cooking fuel,Number of households using clean cooking fuel,Total Households,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,201,Mandatory,ratio,Percentage of street light for which Renewable Energy is used,Number of street lights using renewable energy,Total Number of street lights,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,202,Optional,ratio,Percentage of pump set for which Renewable Energy is used,Number of pump sets using renewable energy,Total Number of pump sets,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,203,Mandatory,ratio,Percentage of lighting systems using LED lights including street lights,Number of lighting systems including street lights using LED,Total number of lighting systems including street lights,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,205,Optional,ratio,Percentage use of nitrogenous fertilizer to total fertilizer,Consumption of Nitrogenous fertilizer during the reference year,Consumption of total fertilizer during the reference year,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,206,Optional,binary,Whether there is adequate infrastructure facilities for fishing,Whether there is adequate infrastructure facilities for fishing,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,207,Optional,ratio,Percentage of Fishers in Fish Farmer Producers organization (FFPOs),Number of Fisher Man and Women in Fish Farmer Producer Organization,Total number of fishers,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,208,Optional,ratio,Percentage of Fishers having received any assistance from Govt for improvement in Fisheries,Number of Fisher Men and Women received any assistance from Govt for improvement in Fisheries,Total number of fishers,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,209,Optional,ratio,Proportion of tree cover to total geographical area,Area under Tree Cover,Total area of GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,210,Mandatory,binary,Is there a committee functioning in the GP for environmental conservation?,Is there a committee functioning in the GP for environmental conservation?,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,211,Mandatory,binary,Whether the People Bio-diversity Register is updated by Gram Panchayat ?,Whether the People Bio-diversity Register is updated by GP ?,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,213,Optional,ratio,Percentage of restoration of water bodies in the hilly areas,Number of Water Bodies restored in the hilly areas,Total number of Water Bodies & Tanks,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,214,Optional,ratio,Percentage of plant nurseries created in the panchayat to land area,Number of plant nurseries created in GP,Total area of GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,215,Optional,ratio,Percentage of Trees Planted per hectare under Social Forestry Program in the Village,Number of Trees Planted under Social Forestry Program in the Village,Total area of GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,216,Optional,ratio,"Proportion of Area in high slope areas, barren lands and other common lands covered by trees.","Area in high slope areas, barren lands and other common lands covered by trees.","Total area under high slope areas, barren lands and other common lands",https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,218,Mandatory,binary,Whether the nurseries created in the school in the GP,Whether the nurseries created in the school in the GP,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,219,Optional,ratio,Percentage of fallow area restored,Fallow land area restored in GP,Area under Fallow land,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,5,t5_clean_and_green_panchayat,221,Mandatory,ratio,"Percentage of local government spending on environmental protection, Toilets, Waste management, Clean Energy, Sustainable Agriculture out of total GP expenditure","GP spending on on environmental protection, Toilets, Waste management, Clean Energy, Sustainable Agriculture",Total GP expenditure (All Scheme),https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=5&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,32,Mandatory,binary,Whether the Gram Panchayat has the Disaster Management Plan,Whether the Panchayat has prepared the Disaster Management Plan,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,97,Mandatory,ratio,"Percentage of Anganwadi Center having own building with basic facilities ( Electricity, Drinking Water & Toilet) in Gram Panchayat",Number of Anganwadis have their own building,Number of Anganwadis in GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,98,Mandatory,ratio,Percentage of Anganwadis having access to Adequate and Safe drinking water,Number of Anganwadis have Adequate and Safe drinking water,Number of Anganwadis in GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,108,Mandatory,ratio,Percentage of Anganwadis having Electricity,Number of Anganwadis have Electricity,Number of Anganwadis in GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,111,Mandatory,ratio,percentage of primary schools have Boundary walls/fencing & gate,Number of Primary school has Boundary wall/fencing & gate,Number of Primary schools in GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,121,Mandatory,ratio,Percentage of Primary school has Kitchen garden,Number of Primary School has Kitchen Garden,Number of Primary schools in GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,125,Mandatory,binary,Whether the GP has child friendly park with required facilities,Whether the GP has child friendly park with required facilities,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,222,Mandatory,binary,Whether GP has own building,Whether GP has own building (Panchayat Bhawan),,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,223,Mandatory,binary,Whether GP building has Electricity,Whether GP building has Electricity,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,224,Mandatory,binary,Whether GP building has Clean & safe drinking water,Whether GP building has Clean & safe drinking water,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,225,Mandatory,binary,Whether GP building has Furniture,Whether GP building has Furniture,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,226,Mandatory,binary,Whether GP building has Computer with Internet facility,Whether GP building has Computer with Internet facility,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,227,Mandatory,binary,Whether GP building has Meeting Hall,Whether GP building has Meeting Hall,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,228,Mandatory,binary,Whether GP building has Waiting Hall,Whether GP building has Waiting Hall,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,229,Mandatory,binary,Whether GP building has Clean Toilets,Whether GP building has Clean Toilets,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,230,Mandatory,binary,Whether GP building has Over head Tank,Whether GP building has Over head Tank,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,231,Mandatory,binary,Whether GP building has Ramps for Physically challenged children/persons,Whether GP building has Ramps for Physically challenged children/persons,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,234,Mandatory,ratio,Percentage of Anganwadis having Colourful Wall Painting,Number of Anganwadis have Colourful Wall Painting,Number of Anganwadis in GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,236,Mandatory,ratio,Percentage of Anganwadis having Open space for outdoor activities,Number of Anganwadis have Open spaces for outdoor activities,Number of Anganwadis in GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,237,Mandatory,ratio,Percentage of Anganwadis having First Aid Box & Medicine Kit,Number of Anganwadis have a First Aid Box and medicine Kit,Number of Anganwadis in GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,238,Mandatory,ratio,Percentage of Anganwadis having Weighing Machine,Number of Anganwadis have a Weighing Machine,Number of Anganwadis in GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,239,Mandatory,ratio,Percentage of Anganwadis having Community Growth Chart and Mother and Child Protection Card,Number of Anganwadis has a Community Growth Chart and MCP Card,Number of Anganwadis in GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,240,Mandatory,ratio,Percentage of Anganwadis having a Smartphone for Anganwadi Workers,Number of Anganwadi have Smartphones for Anganwadi Workers(AWWs),Number of Anganwadis in GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,241,Mandatory,ratio,Percentage of Anganwadis having Ramps for Physically challenged children/persons,Number of Anganwadis have RAMPS for Physically challenged children/persons,Number of Anganwadis in GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,242,Mandatory,ratio,Percentage of Anganwadis having cooked food/supply of SNP or having gas connection for cooking meal etc,Number of Anganwadi have regular supply of SNP & Gas Connection,Number of Anganwadis in GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,244,Mandatory,ratio,Percentage of Anganwadis having Nutrition Garden,Number of Anganwadis have a Nutrition Garden,Number of Anganwadis in GP,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,245,Mandatory,binary,Is there a Public Health Center (PHC)or Health Sub Center(HSC) in the village?,Is there a PHC or HSC in the village?,,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,246,Mandatory,binary,"If Public Health Center(PHC)/Health Sub Center(HSC) is there, then: Whether the PHC/HSC has Own building","If PHC/HSC is there, then: Whether the PHC/HSC has own building",,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,247,Mandatory,binary,"If Public Health Center (PHC)/Health Sub Center(HSC) is there, then Whether the PHC/ HSC has boundary wall and gate","If PHC/HSC is there, then Whether the PHC/ HSC has boundary wall and gate",,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,248,Mandatory,binary,"If Public Health Center (PHC)/Health Sub Center(HSC) is there, then whether the PHC/HSC has Electricity","If PHC/HSC is there, then whether the PHC/HSC has Electricity",,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,249,Mandatory,binary,"If Public Health Center(PHC)/Health Sub Center(HSC) is there, then whether the PHC/HSC has dedicated Telephone/Mobile Phone","If PHC/HSC is there, then whether the PHC/HSC has Telephone",,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,250,Mandatory,binary,"If Public Health Center (PHC)/Health Sub Center(HSC) is there, then whether the PHC/HSC has internet facility","If PHC/HSC is there, then whether the PHC/HSC has internet facility",,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,251,Mandatory,binary,"If Public Health Center (PHC)/Health Sub Center(HSC) is there, then whether the PHC/HSC has Adequate furniture","If PHC/HSC is there, then whether the PHC/HSC has Adequate furniture",,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,252,Mandatory,binary,"If Public Health Center (PHC)/Health Sub Center (HSC) is there, then whether the PHC/HSC has Adequate Technically Trained Manpower","If PHC/HSC is there, then whether the PHC/HSC has Adequate Technically Trained Manpower",,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,253,Mandatory,binary,"If Public Health Center (PHC)/Health Sub Center (HSC) is there, then whether the PHC/HSC has Adequate & functional equipment as per National Health Mission(NHM) Guidelines","If PHC/HSC is there, then whether the PHC/HSC has Adequate & functional equipment as per NHM Guidelines",,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,254,Mandatory,binary,"If Public Health Center(PHC)/Health Sub Center(HSC) is there, then whether the PHC/HSC has Available of sufficient quantity of Medicines","If PHC/HSC is there, then whether the PHC/HSC has Available of sufficient quantity of Medicines",,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,255,Mandatory,binary,"If Public Health Center(PHC)/Health Sub Center(HSC) is there, then whether the PHC/HSC has Referral service facility (Ambulance)","If PHC/HSC is there, then whether the PHC/HSC has Referral service facility (Ambulance)",,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,256,Mandatory,binary,"If Public Health Center (PHC)/Health Sub Center(HSC) is there, then whether the PHC/HSC has Adequate space","If PHC/HSC is there, then whether the PHC/HSC has Adequate space",,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,257,Mandatory,binary,"If Public Health Center (PHC)/Health Sub Center(HSC) is there, then whether the PHC/HSC has sitting arrangement in waiting area","If PHC/HSC is there, then whether the PHC/HSC has sitting arrangement in waiting area",,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,258,Mandatory,binary,"If Public Health Center (PHC)/Health Sub Center (HSC)is there, then whether the PHC/HSC has Adequate water supply with water storage facility","If PHC/HSC is there, then whether the PHC/HSC has Adequate water supply with water storage facility",,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,259,Mandatory,binary,"If Public Health Center(PHC)/Health Sub Center(HSC) is there, then whether the PHC/HSC has Toilet with Adequate water supply for male and female separately","If PHC/HSC is there, then whether the PHC/HSC has Toilet with Adequate water supply for male and female separately",,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
PAI 1.0,2022-2023,6,t6_self_sufficient_infrastructure_in_panchayat,260,Mandatory,binary,"If Public Health Center (PHC)/Health Sub Center (HSC) is there, then whether the PHC/HSC has Firefighting equipment","If PHC/HSC is there, then whether the PHC/HSC has Firefighting equipment",,https://pai.gov.in/MMS/Indicator/Theme-Indicators.aspx?t=6&s=1,2026-09-06T06:50:29Z
